iter	best_pop	best_loss	best_acc	avg_fitness
1	    7	        8.0237	    0.1492	    0.0967
2	    7	        8.101	    0.1466	    0.1002
3	    7	        8.0547	    0.1504	    0.1036
4	    7	        8.1406	    0.1478	    0.1051
5	    7	        8.0389	    0.1538	    0.1068
6	    7	        8.07	    0.146	    0.1071
7	    2	        6.4436	    0.1418	    0.1043
8	    7	        7.9566	    0.1502	    0.111
9	    7	        8.2188	    0.143	    0.1102
10	    7	        8.0861	    0.1466	    0.1066
11	    7	        8.1024	    0.1494	    0.1075
12	    7	        8.0935	    0.15	    0.1095
13	    2	        6.3284	    0.1442	    0.1088
14	    7	        8.0271	    0.1576  	0.1104
15	    7	        8.0035	    0.1482  	0.1135
16	    0	        6.6562	    0.1578	    0.1153
17	    0	        6.7271	    0.1632	    0.1154
18	    0	        6.7706	    0.1578	    0.1172
19	    0	        6.86	    0.163	    0.1161
20	    0	        7.0217	    0.1566	    0.1175
21	    0	        6.875	    0.1546	    0.1168
22	    0	        6.7925	    0.1578	    0.1188
23	    0	        6.7854	    0.1586	    0.1188
24	    0	        6.6777	    0.153	    0.1178
25	    0	        6.8271	    0.1542	    0.1196
26	    0	        6.8058	    0.158	    0.118
27	    0	        6.8758	    0.1608	    0.1199
28	    1	        7.7855	    0.2038	    0.1262
29	    1	        7.8006	    0.2046	    0.1247
30	    1	        7.6952	    0.1932	    0.1251
31	    1	        7.8943	    0.1928	    0.1224
32	    1	        7.833	    0.1996	    0.1222
33	    1	        7.7397	    0.1918	    0.1229
34	    1	        7.8689	    0.1958	    0.1261
35	    1	        7.6458	    0.188	    0.1263
36	    1	        7.9951	    0.1776	    0.1247
37	    1	        7.8336	    0.197	    0.1242
38	    3	        7.7682	    0.1834	    0.1289
39	    1	        7.8152	    0.1924	    0.1282
40	    1	        7.8765	    0.1932	    0.1288
41	    1	        7.7262	    0.1946	    0.1316
42	    1	        7.8792	    0.1906	    0.1317
43	    1	        7.8411	    0.214	    0.1316
44	    1	        7.8451	    0.1902	    0.1318
45	    1	        7.842	    0.1938	    0.1317
46	    1	        7.8273	    0.1958	    0.1321
47	    1	        7.6968	    0.1958	    0.1309
48	    1	        7.6933	    0.1968	    0.1332
49	    1	        7.7484	    0.1896	    0.127
50	    1	        7.8758	    0.2	        0.1339
